vehicle,time,event,px,py,pz,speed,desiredSpeed,maxSpeed,lane,pathId,intersectionId,distTravelled,pathLength,pathPct,decision,probability,motionState,signalState,maneuverState,isBlocked,isStuck,isInQueue,routeTrace
Car_7(Clone)_9820,22.51,FRAME,-5.25,0.00,-121.27,12.83,15.69,19.44,Lane_way s_4,Path_way s_4,way s,218.72,316.79,0.690,,,Braking,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Police_2(Clone)_7766,22.51,FRAME,263.90,0.00,-5.25,9.95,9.99,9.99,Lane_way e_1,Path_way e_1,way e,76.09,316.79,0.240,,,Cruising,Approaching,LaneKeeping,0,0,0,START
MiniBus_Ambulance(Clone)_2333,22.51,FRAME,288.15,0.00,-1.76,12.23,12.29,12.29,Lane_way e_2,Path_way e_2,way e,51.84,316.79,0.164,,,Cruising,Approaching,LaneChangeRight,0,0,0,START>LC:Lane_way e_2
Police_2(Clone)_9688,22.51,FRAME,-5.25,0.00,-329.04,11.30,12.78,13.80,Lane_way s_4,Path_way s_4,way s,10.95,316.79,0.035,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_9(Clone)_7049,22.54,FRAME,-8.75,0.01,-151.53,10.96,11.00,11.00,Lane_way s_5,Path_way s_5,way s,188.46,316.79,0.595,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_5
Car_1(Clone)_2187,22.54,FRAME,-339.99,-0.27,1.75,0.00,13.12,14.48,Lane_way w_3,Path_way w_3,way w,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_1(Clone)_4817,22.54,FRAME,8.75,-0.27,339.99,0.00,13.52,15.83,Lane_way n_0,Path_way n_0,way n,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_3623,22.54,FRAME,5.25,0.01,282.11,8.46,8.49,8.49,Lane_way n_1,Path_way n_1,way n,57.88,316.79,0.183,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_2(Clone)_4356,22.54,FRAME,-5.25,0.02,-280.43,15.72,15.95,16.98,Lane_way s_4,Path_way s_4,way s,59.56,316.79,0.188,,,Cruising,Approaching,LaneChangeLeft,0,0,0,START>LC:Lane_way s_4
MiniBus_Ambulance(Clone)_2928,22.54,FRAME,-1.75,0.00,-315.70,9.63,9.72,9.72,Lane_way s_3,Path_way s_3,way s,24.29,316.79,0.077,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_8646,22.54,FRAME,1.75,0.01,336.63,5.45,13.11,15.06,Lane_way n_2,Path_way n_2,way n,3.36,316.79,0.011,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_4(Clone)_1430,22.55,FRAME,-94.37,-0.03,8.75,13.86,13.93,15.72,Lane_way w_5,Path_way w_5,way w,245.62,316.79,0.775,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_5
Car_9(Clone)_5828,22.55,FRAME,1.75,0.01,228.63,13.46,13.53,13.53,Lane_way n_2,Path_way n_2,way n,111.36,316.79,0.352,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_6(Clone)_8350,22.55,COLLISION_RISK,,,,,,,,MiniBus_Ambulance(Clone)_4009,rear_left,,,,dist=22.8 closing=5.5,,,,,,,,START
MiniBus_Ambulance(Clone)_4009,22.55,FRAME,-318.82,0.00,1.98,12.91,16.49,17.89,Lane_way w_3,Path_way w_3,way w,21.17,316.79,0.067,,,Cruising,Approaching,LaneChangeLeft,0,0,0,START>LC:Lane_way w_3
Car_7(Clone)_4862,22.58,FRAME,83.37,0.00,-1.75,12.86,12.92,12.92,Lane_way e_2,Path_way e_2,way e,256.62,316.79,0.810,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_4(Clone)_8440,22.58,FRAME,113.70,-0.03,-5.25,13.48,13.54,14.20,Lane_way e_1,Path_way e_1,way e,226.29,316.79,0.714,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way e_1
Car_4(Clone)_1552,22.58,FRAME,-125.15,-0.03,5.25,14.50,14.57,17.02,Lane_way w_4,Path_way w_4,way w,214.84,316.79,0.678,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_4
Jeep_2(Clone)_5775,22.58,FRAME,-5.25,0.01,-162.23,14.24,14.33,15.64,Lane_way s_4,Path_way s_4,way s,177.76,316.79,0.561,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Car_2(Clone)_2008,22.58,FRAME,292.56,0.02,-8.75,10.80,12.33,12.33,Lane_way e_0,Path_way e_0,way e,47.43,316.79,0.150,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,22.59,FRAME,5.25,0.00,102.15,12.25,12.30,12.30,Lane_way n_1,Path_way n_1,way n,237.84,316.79,0.751,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_9820,22.59,STATE_MOTION,,,,,,,,Cruising,,,,,,,,,,,,,START>LC:Lane_way s_4
Car_2(Clone)_9622,22.59,FRAME,159.68,0.02,-8.75,11.96,12.02,12.02,Lane_way e_0,Path_way e_0,way e,180.31,316.79,0.569,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_8(Clone)_1941,22.59,FRAME,150.02,0.02,-1.75,16.10,16.19,19.44,Lane_way e_2,Path_way e_2,way e,189.97,316.79,0.600,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way e_2
Taxi(Clone)_7712,22.59,FRAME,207.33,0.01,-8.75,12.72,12.78,12.93,Lane_way e_0,Path_way e_0,way e,132.66,316.79,0.419,,,Cruising,Approaching,LaneKeeping,0,0,0,START
